fecha;afp;tipo_de_fondo;tipo_de_instrumento;nemotecnico_del_instrumento;nombre_del_emisor;nacionalidad_del_emisor;unidad_de_reajuste_de_moneda;unidades;precio;inversion;grupo_economico;moneda_contrato_forward;moneda_objeto_forward;precio_ejercicio_forward;plazo_economico;tasa_pactada_del_fondo_swap;tasa_pactada_de_la_contraparte_swap
20170131;cup;A;BRP;BR41140219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;348850;95.78778;33415567.05;;;;;744;;
20170131;cup;A;BRP;BR41040917;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;104301;92.48679;9646464.68;;;;;216;;
20170131;cup;A;BRP;BR41110319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;583775;96.00366;56044536.62;;;;;769;;
20170131;cup;A;BRP;BR41210418;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;422313;94.08441;39733069.44;;;;;445;;
20170131;cup;A;BRP;BR51140319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;416702;94.42058;39345244.53;;;;;772;;
20170131;cup;A;BRP;BR41161118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;322524;95.22069;30710957.82;;;;;654;;
20170131;cup;A;BRP;BR01121219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;275253;91.40271;25158870.14;;;;;1045;;
20170131;cup;A;BRP;BR41150124;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;51009;104.66468;5338840.66;;;;;2540;;
20170131;cup;A;BRP;BR41150219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;214043;95.77397;20499747.86;;;;;745;;
20170131;cup;A;BRP;BR51180817;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;655047;90.80559;59481929.31;;;;;199;;
20170131;cup;A;BRP;BR02121118;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;413613;73.82192;30533705.8;;;;;650;;
20170131;cup;A;BRP;BR41160218;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;388905;93.7425;36456926.96;;;;;381;;
20170131;cup;A;BRP;BR41210419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;337661;96.41026;32553984.8;;;;;810;;
20170131;cup;A;BRP;BR41210319;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;267522;96.23192;25744155.7;;;;;779;;
20170131;cup;A;BRP;BR41190219;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;63190;96.05836;6069927.77;;;;;749;;
20170131;cup;A;BRP;BR41190618;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;42450;94.15681;3996956.58;;;;;504;;
20170131;cup;A;BRP;BRA1110121;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;533991;92.92092;49618934.99;;;;;1441;;
20170131;cup;A;BRP;BR51271018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;294129;93.71075;27563049.19;;;;;634;;
20170131;cup;A;BRP;BR41231018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;345763;95.29677;32950097.09;;;;;630;;
20170131;cup;A;BRP;BR41090419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;56313;96.19259;5416893.32;;;;;798;;
20170131;cup;A;BRP;BR82240817;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;571616;78.92906;45117113.56;;;;;205;;
20170131;cup;A;BRP;BR41160419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;88475;96.14235;8506194.42;;;;;805;;
20170131;cup;A;BRP;BRA1260119;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;419332;89.38146;37480506.38;;;;;725;;
20170131;cup;A;BRP;BR41251018;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;352385;95.28021;33575316.8;;;;;632;;
20170131;cup;A;BRP;BR41070419;INSTITUTO DE NORMALIZACION PREVISIONAL; ;NO;227442;96.21131;21882492.77;;;;;796;;
